1,27,0.0001,1,0.03045916557312012,7.310704476159085e-05
2,500,0.0001,0,29.41748785972595,NaN
3,500,0.0001,0,1.12811803817749,0.3522372145693085
4,500,0.0001,0,41.63163495063782,0.9855449114535062
1,38,1e-06,1,0.03118681907653809,8.362103873787626e-07
2,500,1e-06,0,28.75348401069641,NaN
3,500,1e-06,0,1.336551904678345,0.3522372145693085
4,500,1e-06,0,46.99863505363464,0.9855449114535062
1,49,1e-08,1,0.03512811660766602,9.40060055333107e-09
2,500,1e-08,0,35.87407493591309,NaN
3,500,1e-08,0,1.241678953170776,0.3522372145693085
4,500,1e-08,0,47.13827300071716,0.9855449114535062
1,61,1e-10,1,0.05498099327087402,7.101818033859053e-11
2,500,1e-10,0,33.14948201179504,NaN
3,500,1e-10,0,1.522533893585205,0.3522372145693085
4,500,1e-10,0,43.464928150177,0.9855449114535062
1,72,1e-12,1,0.06597805023193359,8.117787426064414e-13
2,500,1e-12,0,34.29185509681702,NaN
3,500,1e-12,0,1.34141993522644,0.3522372145693085
4,500,1e-12,0,43.56216502189636,0.9855449114535062
