X1,X2
4.702394134972945e-05,2.898044719511531e-06
5.183979041916484e-07,-3.812781290693058e-08
6.020824943273339e-09,3.839842464800643e-10
4.5545368227656e-11,2.874768785906869e-12
5.020979262298609e-13,-3.782158559589645e-14
