nomor fungsi fx,jumlah iterasi,tolerance,converge/tidak,elapsed time,norm grad
1,2,0.0001,1,0.1255781650543213,0
2,101,0.0001,0,0.1262681484222412,2060187.432321982
3,88,0.0001,1,1.212999105453491,3.420355820178293e-10
4,2,0.0001,1,8.283920049667358,7.440737215365942e-05
1,2,1e-06,1,0.0009391307830810547,0
2,101,1e-06,0,0.1029009819030762,2060187.432321982
3,88,1e-06,1,1.28148889541626,3.420355820178293e-10
4,3,1e-06,1,12.57872200012207,8.309510251140268e-13
1,2,1e-08,1,0.0009560585021972656,0
2,101,1e-08,0,0.1030330657958984,2060187.432321982
3,88,1e-08,1,1.2325439453125,3.420355820178293e-10
4,3,1e-08,1,13.712641954422,8.309510251140268e-13
1,2,1e-10,1,0.0009350776672363281,0
2,101,1e-10,0,0.1116888523101807,2060187.432321982
3,89,1e-10,1,1.386141061782837,1.089206706989408e-16
4,3,1e-10,1,13.79010701179504,8.309510251140268e-13
1,2,1e-12,1,0.001013994216918945,0
2,101,1e-12,0,0.1074321269989014,2060187.432321982
3,89,1e-12,1,1.311495065689087,1.089206706989408e-16
4,3,1e-12,1,14.54971504211426,8.309510251140268e-13
